title,avg_reviews,complete_link,publisher,price,pages
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",4.6,https://www.amazon.com/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_232?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-232,"O'Reilly Media; 1st edition (November 10, 2020)",36.99,408
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,4.3,https://www.amazon.com/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_295?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-295,"Packt Publishing (March 29, 2019)",45.89,464
"Data Visualization with Python for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn (Machine Learning & Data Science for Beginners)",4.1,https://www.amazon.com/Data-Visualization-Python-Beginners-Matplotlib/dp/1733042687/ref=sr_1_280?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-280,"AI Publishing LLC (February 14, 2020)",19.99,288
"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn, and TensorFlow for Machine Learning and ... Learning & Data Science for Beginners)",4.4,https://www.amazon.com/Python-Machine-Learning-Beginners-Scikitlearn/dp/1734790156/ref=sr_1_296?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165079&sprefix=data+science%2Caps%2C586&sr=8-296,"AI Publishing LLC (October 23, 2020)",25.19,304
Machine Learning Design Interview: Machine Learning System Design Interview,3.4,https://www.amazon.com/Machine-Learning-Design-Interview-System/dp/B09YQWX59Z/ref=sr_1_268?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-268,"Independently published (April 29, 2022)",39.99,210
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,4.6,https://www.amazon.com/Machine-Learning-Solutions-Architect-Handbook/dp/1801072167/ref=sr_1_250?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-250,"Packt Publishing (January 21, 2022)",54.99,442
The Handbook of Data Science and AI: Generate Value from Data with Machine Learning and Data Analytics,4.6,https://www.amazon.com/Handbook-Data-Science-AI-Analytics/dp/1569908869/ref=sr_1_218?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-218,"Hanser Publications (April 28, 2022)",42.49,576
"Google BigQuery: The Definitive Guide: Data Warehousing, Analytics, and Machine Learning at Scale",4.5,https://www.amazon.com/Google-BigQuery-Definitive-Warehousing-Analytics/dp/1492044466/ref=sr_1_213?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-213,"O'Reilly Media; 1st edition (November 19, 2019)",29.99,522
Automated Machine Learning in Action,4.5,https://www.amazon.com/Automated-Machine-Learning-Action-Qingquan/dp/1617298050/ref=sr_1_215?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-215,"Manning (June 7, 2022)",44.99,336
"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition",4.6,https://www.amazon.com/Machine-Learning-techniques-predictive-modeling/dp/1788295862/ref=sr_1_166?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-166,"Packt Publishing; 3rd edition (April 15, 2019)",37.99,458
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,4.6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06644962ZEDTH7LTE0PB&qualifier=1671165042&id=1040193484027598&widgetName=sp_mtf&url=%2FMachine-Learning-PyTorch-Scikit-Learn-learning%2Fdp%2F1801819319%2Fref%3Dsr_1_113_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165042%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-113-spons%26psc%3D1,"Packt Publishing (February 25, 2022)",39.02,774
Machine Learning in Finance: From Theory to Practice,4.5,https://www.amazon.com/Machine-Learning-Finance-Theory-Practice/dp/3030410676/ref=sr_1_53?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1671164641&sprefix=deep+learning%2Caps%2C627&sr=8-53,"Springer; 1st ed. 2020 edition (July 2, 2020)",55.18,573
